[17:57:52] (6171432104) > Адмнинистратор вошел в админ-панель
[17:57:53] (6171432104) > Адмнинистратор вошел меню редактирования продуктов
[17:57:59] (6171432104) > Адмнинистратор вошел меню редактирования продуктов
[17:58:03] (6171432104) > Администратор создал продукт 'dasdsadasdas'
[17:58:07] (6171432104) > Адмнинистратор вошел в админ-панель
[17:58:12] (6171432104) > Администратор отправил оповещение всем пользователям
[17:58:14] (6171432104) > Адмнинистратор вошел в админ-панель
[18:02:57] (6171432104) > Адмнинистратор вошел в админ-панель
[18:08:05] (6171432104) > Адмнинистратор вошел в админ-панель
[18:08:07] (6171432104) > Администратор вошел меню редактирования продуктов
[18:08:24] (6171432104) > Администратор создал продукт 'lol kek'
[18:10:10] (6171432104) > Администратор вошел меню редактирования продуктов
[18:11:17] (6171432104) > Администратор вошел меню редактирования продуктов
[18:11:22] (6171432104) > Администратор создал продукт 'sdadasdsa'
[18:11:36] (6171432104) > Администратор вошел меню редактирования продуктов
[18:11:40] (6171432104) > Администратор вошел меню редактирования продуктов
[18:16:47] (6171432104) > Администратор создал промокод 'best_promo'
[18:21:24] (6171432104) > Администратор вошел меню редактирования продуктов
[18:21:27] (6171432104) > Адмнинистратор вошел в админ-панель
[18:21:34] (6171432104) > Администратор вошел меню редактирования продуктов
[18:21:51] (6171432104) > Администратор вошел меню редактирования продуктов
[18:21:53] (6171432104) > Администратор вошел в админ-панель
[19:52:32] (6171432104) > Адмнинистратор вошел в админ-панель
[19:52:36] (6171432104) > Администратор вошел меню редактирования продуктов
[19:52:45] (6171432104) > Администратор создал продукт 'Etsy Parser'
[23:19:02] (6171432104) > Адмнинистратор вошел в админ-панель
[23:19:05] (6171432104) > Администратор вошел меню редактирования продуктов
[23:19:14] (6171432104) > Администратор создал продукт 'Etsy Parser'
[23:19:15] (6171432104) > Администратор вошел в админ-панель
[23:47:33] (6171432104) > Адмнинистратор вошел в админ-панель
[23:47:34] (6171432104) > Администратор вошел меню редактирования продуктов
[23:47:45] (6171432104) > Администратор создал продукт 'ETSY Parser'
[23:47:46] (6171432104) > Администратор вошел в админ-панель
